file,percent,plain_decode_ok,enc_decode_ok
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0003.png,12,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0003.png,15,1,1
Adam_Sandler\Adam_Sandler_0001.png,0,1,1
Adam_Sandler\Adam_Sandler_0001.png,2,1,1
Adam_Sandler\Adam_Sandler_0001.png,4,1,1
Adam_Sandler\Adam_Sandler_0001.png,6,1,1
Adam_Sandler\Adam_Sandler_0001.png,8,1,1
Adam_Sandler\Adam_Sandler_0001.png,10,1,1
Adam_Sandler\Adam_Sandler_0001.png,12,1,1
Adam_Sandler\Adam_Sandler_0001.png,15,1,1
Adam_Sandler\Adam_Sandler_0002.png,0,1,1
Adam_Sandler\Adam_Sandler_0002.png,2,1,1
Adam_Sandler\Adam_Sandler_0002.png,4,1,1
Adam_Sandler\Adam_Sandler_0002.png,6,1,1
Adam_Sandler\Adam_Sandler_0002.png,8,1,1
Adam_Sandler\Adam_Sandler_0002.png,10,1,1
Adam_Sandler\Adam_Sandler_0002.png,12,1,1
Adam_Sandler\Adam_Sandler_0002.png,15,1,1
Adam_Sandler\Adam_Sandler_0003.png,0,1,1
Adam_Sandler\Adam_Sandler_0003.png,2,1,1
Adam_Sandler\Adam_Sandler_0003.png,4,1,1
Adam_Sandler\Adam_Sandler_0003.png,6,1,1
Adam_Sandler\Adam_Sandler_0003.png,8,1,1
Adam_Sandler\Adam_Sandler_0003.png,10,1,1
Adam_Sandler\Adam_Sandler_0003.png,12,1,1
Adam_Sandler\Adam_Sandler_0003.png,15,1,1
Adam_Sandler\Adam_Sandler_0004.png,0,1,1
Adam_Sandler\Adam_Sandler_0004.png,2,1,1
Adam_Sandler\Adam_Sandler_0004.png,4,1,1
Adam_Sandler\Adam_Sandler_0004.png,6,1,1
Adam_Sandler\Adam_Sandler_0004.png,8,1,1
Adam_Sandler\Adam_Sandler_0004.png,10,1,1
Adam_Sandler\Adam_Sandler_0004.png,12,1,1
Adam_Sandler\Adam_Sandler_0004.png,15,1,1
Adam_Scott\Adam_Scott_0001.png,0,1,1
Adam_Scott\Adam_Scott_0001.png,2,1,1
Adam_Scott\Adam_Scott_0001.png,4,1,1
Adam_Scott\Adam_Scott_0001.png,6,1,1
Adam_Scott\Adam_Scott_0001.png,8,1,1
Adam_Scott\Adam_Scott_0001.png,10,1,1
Adam_Scott\Adam_Scott_0001.png,12,1,1
Adam_Scott\Adam_Scott_0001.png,15,1,1
Adam_Scott\Adam_Scott_0002.png,0,1,1
Adam_Scott\Adam_Scott_0002.png,2,1,1
Adam_Scott\Adam_Scott_0002.png,4,1,1
